host,op,level,threads,pin_cpu,numa,iter,seconds,freq_n,freq_min_mhz,freq_p50_mhz,freq_p90_mhz,freq_max_mhz,freq_mean_mhz
gnr-bkc,decompress,1,1,0,0,1,0.2665829979960108,53,3899.61,3900.0,3900.0702,3900.352,3899.9799245283016
gnr-bkc,decompress,1,1,0,0,2,0.26411303599888925,52,3899.647,3900.0,3900.039,3900.352,3899.9809615384615
gnr-bkc,decompress,1,1,0,0,3,0.2615740229957737,52,3899.648,3900.0,3900.2856,3900.352,3899.987769230769
gnr-bkc,decompress,1,1,0,0,4,0.2529953250050312,50,3899.648,3900.0,3900.2769,3900.351,3899.9809
gnr-bkc,decompress,1,1,0,0,5,0.252228755998658,50,3899.609,3900.0,3900.039,3900.353,3899.98424
gnr-bkc,decompress,1,1,0,0,6,0.2565410530078225,51,3899.648,3900.0,3900.313,3900.352,3900.038901960784
gnr-bkc,decompress,1,1,0,0,7,0.2534478029992897,50,3899.648,3900.0,3900.312,3900.352,3900.00214
gnr-bkc,decompress,1,1,0,0,8,0.2557647320063552,51,3899.608,3900.0,3900.312,3900.352,3899.9883529411763
gnr-bkc,decompress,1,1,0,0,9,0.2587725240009604,51,3899.648,3900.0,3900.312,3900.352,3899.997470588235
gnr-bkc,decompress,1,1,0,0,10,0.2580616560007911,51,3899.609,3900.0,3900.313,3900.352,3900.047274509804
gnr-bkc,decompress,1,1,0,0,11,0.25610127999971155,51,3899.648,3900.0,3900.039,3900.353,3899.984431372549
gnr-bkc,decompress,1,1,0,0,12,0.2588105809991248,51,3899.646,3900.0,3900.312,3900.352,3900.0050588235295
gnr-bkc,decompress,1,1,0,0,13,0.25594365200959146,51,3899.648,3900.0,3900.039,3900.352,3899.9929215686275
gnr-bkc,decompress,1,1,0,0,14,0.26166459399973974,52,3899.647,3900.0,3900.039,3900.351,3899.9658846153843
gnr-bkc,decompress,1,1,0,0,15,0.269167797989212,53,3899.647,3900.0,3900.039,3900.351,3899.9665283018867
gnr-bkc,decompress,1,1,0,0,16,0.2687582200014731,53,3899.647,3900.0,3900.312,3900.352,3900.0083207547173
gnr-bkc,decompress,1,1,0,0,17,0.2670229789946461,53,3899.647,3900.0,3900.313,3900.352,3899.99158490566
gnr-bkc,decompress,1,1,0,0,18,0.26441912300651893,52,3899.647,3900.0,3900.3472,3900.352,3900.047
gnr-bkc,decompress,1,1,0,0,19,0.26038884700392373,52,3899.647,3900.0,3900.313,3900.352,3900.026019230769
