op,level,threads,iter,seconds
compress,1,1,1,0.726258
compress,1,1,2,0.547334
compress,1,1,3,0.646470
compress,1,1,4,0.706349
compress,1,1,5,0.721879
compress,1,1,6,0.640593
compress,1,1,7,0.729825
compress,1,1,8,0.720895
compress,1,1,9,0.726153
compress,1,1,10,0.645089
compress,1,1,11,0.580225
compress,1,1,12,0.646367
compress,1,1,13,0.639225
compress,1,1,14,0.653662
compress,1,1,15,0.729155
compress,1,1,16,0.724708
compress,1,1,17,0.725568
compress,1,1,18,0.647322
compress,1,1,19,0.640878
compress,1,1,20,0.637592
compress,9,1,1,2.567625
compress,9,1,2,2.583632
compress,9,1,3,2.586666
compress,9,1,4,2.590290
compress,9,1,5,2.595067
compress,9,1,6,2.569571
compress,9,1,7,2.600672
compress,9,1,8,2.596993
compress,9,1,9,2.594533
compress,9,1,10,2.604212
compress,9,1,11,2.577989
compress,9,1,12,2.556135
compress,9,1,13,2.551566
compress,9,1,14,2.597040
compress,9,1,15,2.597069
compress,9,1,16,2.555801
compress,9,1,17,2.571797
compress,9,1,18,2.586960
compress,9,1,19,2.575064
compress,9,1,20,2.562849
compress,19,1,1,61.123714
compress,19,1,2,63.026965
compress,19,1,3,62.969293
compress,19,1,4,63.087073
compress,19,1,5,62.039670
compress,19,1,6,62.490180
compress,19,1,7,62.493812
compress,19,1,8,61.692882
compress,19,1,9,62.291151
compress,19,1,10,62.034774
compress,19,1,11,63.381126
compress,19,1,12,61.894265
compress,19,1,13,61.426046
compress,19,1,14,61.478376
compress,19,1,15,63.151041
compress,19,1,16,61.958885
compress,19,1,17,61.681500
compress,19,1,18,62.201246
compress,19,1,19,61.470923
compress,19,1,20,63.224671
compress,22,1,1,86.213994
compress,22,1,2,86.754706
compress,22,1,3,85.935939
compress,22,1,4,88.401977
compress,22,1,5,87.042045
compress,22,1,6,89.041576
compress,22,1,7,86.845834
compress,22,1,8,89.109668
compress,22,1,9,87.069528
compress,22,1,10,87.977620
compress,22,1,11,87.191615
compress,22,1,12,87.846327
compress,22,1,13,86.691859
compress,22,1,14,86.991315
compress,22,1,15,89.100832
compress,22,1,16,87.328511
compress,22,1,17,88.928583
compress,22,1,18,88.023424
compress,22,1,19,86.378409
compress,22,1,20,85.716729
compress,19,8,1,12.876023
compress,19,8,2,12.781823
compress,19,8,3,13.125155
compress,19,8,4,12.798762
compress,19,8,5,13.035007
compress,19,8,6,13.187843
compress,19,8,7,12.992738
compress,19,8,8,12.839524
compress,19,8,9,13.022392
compress,19,8,10,12.925090
compress,19,8,11,13.057629
compress,19,8,12,12.809654
compress,19,8,13,12.866102
compress,19,8,14,12.769517
compress,19,8,15,12.810864
compress,19,8,16,12.744601
compress,19,8,17,12.947869
compress,19,8,18,12.740156
compress,19,8,19,13.276089
compress,19,8,20,13.162784
decompress,1,1,1,0.162834
decompress,1,1,2,0.161185
decompress,1,1,3,0.162501
decompress,1,1,4,0.163155
decompress,1,1,5,0.162635
decompress,1,1,6,0.162059
decompress,1,1,7,0.163636
decompress,1,1,8,0.162711
decompress,1,1,9,0.163698
decompress,1,1,10,0.162293
decompress,1,1,11,0.162215
decompress,1,1,12,0.162512
decompress,1,1,13,0.162641
decompress,1,1,14,0.161579
decompress,1,1,15,0.162514
decompress,1,1,16,0.161999
decompress,1,1,17,0.162359
decompress,1,1,18,0.162752
decompress,1,1,19,0.162902
decompress,1,1,20,0.162699
decompress,9,1,1,0.177234
decompress,9,1,2,0.174857
decompress,9,1,3,0.176303
decompress,9,1,4,0.173495
decompress,9,1,5,0.175655
decompress,9,1,6,0.176383
decompress,9,1,7,0.175902
decompress,9,1,8,0.160081
decompress,9,1,9,0.176039
decompress,9,1,10,0.176826
decompress,9,1,11,0.174662
decompress,9,1,12,0.182083
decompress,9,1,13,0.174386
decompress,9,1,14,0.174547
decompress,9,1,15,0.178435
decompress,9,1,16,0.175706
decompress,9,1,17,0.176951
decompress,9,1,18,0.176278
decompress,9,1,19,0.174794
decompress,9,1,20,0.173377
decompress,19,1,1,0.196844
decompress,19,1,2,0.200157
decompress,19,1,3,0.195322
decompress,19,1,4,0.191428
decompress,19,1,5,0.192322
decompress,19,1,6,0.196799
decompress,19,1,7,0.195538
decompress,19,1,8,0.196355
decompress,19,1,9,0.193842
decompress,19,1,10,0.193618
decompress,19,1,11,0.197353
decompress,19,1,12,0.192718
decompress,19,1,13,0.197084
decompress,19,1,14,0.196243
decompress,19,1,15,0.194901
decompress,19,1,16,0.197341
decompress,19,1,17,0.193321
decompress,19,1,18,0.195170
decompress,19,1,19,0.189802
decompress,19,1,20,0.188055
decompress,22,1,1,0.228092
decompress,22,1,2,0.225848
decompress,22,1,3,0.225557
decompress,22,1,4,0.228893
decompress,22,1,5,0.225416
decompress,22,1,6,0.226774
decompress,22,1,7,0.224816
decompress,22,1,8,0.226328
decompress,22,1,9,0.223734
decompress,22,1,10,0.223228
decompress,22,1,11,0.228088
decompress,22,1,12,0.222372
decompress,22,1,13,0.226507
decompress,22,1,14,0.222208
decompress,22,1,15,0.221861
decompress,22,1,16,0.226959
decompress,22,1,17,0.226122
decompress,22,1,18,0.227046
decompress,22,1,19,0.226544
decompress,22,1,20,0.222878
