host,op,level,threads,pin_cpu,numa,iter,seconds,freq_n,freq_min_mhz,freq_p50_mhz,freq_p90_mhz,freq_max_mhz,freq_mean_mhz
hpcserver,decompress,1,1,0,0,1,0.1547938697040081,31,1500.0,3755.072,3756.47,3756.77,3657.7502258064515
hpcserver,decompress,1,1,0,0,2,0.15305737778544426,30,3744.171,3750.7865,3755.2726000000002,3755.757,3751.728633333333
hpcserver,decompress,1,1,0,0,3,0.1527297580614686,30,3749.623,3751.444,3755.7064,3756.094,3752.3186666666666
hpcserver,decompress,1,1,0,0,4,0.15275857131928205,30,3749.816,3750.817,3755.3732999999997,3756.633,3751.482066666667
hpcserver,decompress,1,1,0,0,5,0.15234765503555536,30,3749.198,3751.0575,3755.4691000000003,3756.478,3751.4856
hpcserver,decompress,1,1,0,0,6,0.1531794611364603,30,3748.93,3750.23,3755.0166,3756.477,3750.979366666667
hpcserver,decompress,1,1,0,0,7,0.15244157519191504,30,3748.947,3750.062,3755.079,3755.838,3750.7237
hpcserver,decompress,1,1,0,0,8,0.15286934562027454,30,3748.839,3750.196,3754.3321,3755.809,3750.9142333333334
hpcserver,decompress,1,1,0,0,9,0.1526746852323413,30,3749.264,3750.3265,3754.6002999999996,3757.021,3750.9749666666667
hpcserver,decompress,1,1,0,0,10,0.15293771866708994,30,3748.593,3749.8205,3752.9647,3754.18,3750.2022666666667
hpcserver,decompress,1,1,0,0,11,0.15262401942163706,30,3749.978,3751.1555,3754.4033999999997,3755.969,3751.688933333333
hpcserver,decompress,1,1,0,0,12,0.15230718441307545,30,3749.72,3750.79,3754.8326,3756.886,3751.471966666667
hpcserver,decompress,1,1,0,0,13,0.15270990878343582,30,3749.48,3750.9985,3754.568,3756.729,3751.4318333333335
hpcserver,decompress,1,1,0,0,14,0.1528252400457859,30,3749.971,3751.1305,3753.697,3756.664,3751.604933333333
hpcserver,decompress,1,1,0,0,15,0.15254589170217514,30,3749.662,3751.126,3754.7127,3755.388,3751.4078333333337
hpcserver,decompress,1,1,0,0,16,0.15287123899906874,30,3748.81,3750.654,3752.3592000000003,3755.721,3750.9923333333336
hpcserver,decompress,1,1,0,0,17,0.1523049408569932,30,3749.722,3750.8905,3753.6272999999997,3755.769,3751.3535333333334
hpcserver,decompress,1,1,0,0,18,0.15274576004594564,30,3746.555,3750.9345,3754.9123,3755.964,3751.3328666666666
hpcserver,decompress,1,1,0,0,19,0.15256136562675238,30,3749.594,3750.606,3755.1182000000003,3756.291,3751.3639
hpcserver,decompress,1,1,0,0,20,0.15256272722035646,30,3743.189,3750.99,3751.7119,3756.197,3750.915466666667
hpcserver,decompress,9,1,0,0,1,0.16576618794351816,33,3749.559,3750.269,3752.5328,3757.964,3750.8856363636364
hpcserver,decompress,9,1,0,0,2,0.16455494333058596,33,3748.512,3750.83,3751.8167999999996,3755.786,3750.9905454545456
hpcserver,decompress,9,1,0,0,3,0.16403263062238693,32,3749.598,3750.976,3751.5634,3756.367,3751.24396875
hpcserver,decompress,9,1,0,0,4,0.16412434726953506,32,3749.951,3751.1495,3751.8477000000003,3755.593,3751.3720625
hpcserver,decompress,9,1,0,0,5,0.16411549411714077,33,3750.693,3751.649,3752.8612000000003,3755.55,3751.923484848485
hpcserver,decompress,9,1,0,0,6,0.16438908409327269,33,3742.419,3751.512,3752.5776,3756.278,3751.5329393939396
hpcserver,decompress,9,1,0,0,7,0.16426644008606672,32,3749.913,3750.979,3752.2722999999996,3756.706,3751.33934375
hpcserver,decompress,9,1,0,0,8,0.16406583040952682,32,3750.402,3751.739,3752.4007,3756.569,3751.93884375
hpcserver,decompress,9,1,0,0,9,0.16407676599919796,32,3750.485,3751.3205,3751.9755,3752.53,3751.3760625
hpcserver,decompress,9,1,0,0,10,0.1645385678857565,33,3750.053,3751.43,3751.8842,3756.817,3751.4517575757577
hpcserver,decompress,9,1,0,0,11,0.16428102273494005,32,3746.669,3751.072,3751.4727000000003,3755.935,3750.96525
hpcserver,decompress,9,1,0,0,12,0.1648748917505145,33,3750.155,3750.92,3751.9826000000003,3753.898,3751.1415151515153
hpcserver,decompress,9,1,0,0,13,0.1649750918149948,33,3749.105,3751.099,3751.946,3753.752,3751.16296969697
hpcserver,decompress,9,1,0,0,14,0.16445436142385006,33,3731.288,3750.79,3751.478,3755.023,3750.3766363636364
hpcserver,decompress,9,1,0,0,15,0.16426496766507626,33,3749.08,3750.396,3751.5573999999997,3776.197,3751.2616666666663
hpcserver,decompress,9,1,0,0,16,0.16406407859176397,32,3746.548,3750.3935,3751.0851000000002,3755.24,3750.466375
hpcserver,decompress,9,1,0,0,17,0.16391593497246504,32,3749.095,3750.3135,3751.3554,3756.602,3750.63125
hpcserver,decompress,9,1,0,0,18,0.16482284385710955,33,3749.715,3750.571,3751.1787999999997,3755.656,3750.7265757575756
hpcserver,decompress,9,1,0,0,19,0.1642313478514552,32,3741.88,3750.613,3751.444,3755.126,3750.57346875
hpcserver,decompress,9,1,0,0,20,0.1647964846342802,33,3749.114,3750.626,3751.332,3753.223,3750.5219393939396
hpcserver,decompress,19,1,0,0,1,0.18274868931621313,36,3742.765,3751.6455,3752.4615,3755.157,3751.420972222222
hpcserver,decompress,19,1,0,0,2,0.18118665739893913,36,3735.575,3750.818,3752.122,3757.028,3750.771027777778
hpcserver,decompress,19,1,0,0,3,0.18126865196973085,36,3748.425,3750.566,3751.328,3754.153,3750.5749166666665
hpcserver,decompress,19,1,0,0,4,0.18147312849760056,36,3749.754,3750.983,3751.727,3752.908,3750.950388888889
hpcserver,decompress,19,1,0,0,5,0.18118998408317566,36,3749.413,3751.0625,3751.821,3756.01,3751.1249166666666
