tag,F,D,dict,merge,n_files,raw_MBps_med,comp_MBps_med,ratio,p50_us_med,p99_us_med,p999_us_med,wall_s_med,n_frames
6979P_F1_D2_dictno_pindefault_warm,1,2,no,no,1,266.311418760226,175.79229739963725,1.5149208622878803,7.348068379542383,12.432833983666569,17.05833398091272,7.706970450504741,2000000
6979P_F1_D2_dictyes_pindefault_warm,1,2,yes,no,1,244.33319675607402,128.11653924196116,1.9071167407560539,8.015613275347278,10.486222663530498,15.663093762441349,8.314447462005774,2000000
6979P_F1_D2_dictno_pindefault_warm,1,2,no,no,1,210.3799812457259,138.8719282194078,1.5149208622878803,9.680835972858404,15.582896452315254,21.75159372086455,9.724858169007348,2000000
6979P_F1_D2_dictyes_pindefault_warm,1,2,yes,no,1,240.95875106348822,126.34714273860497,1.9071167407560539,7.715216810311176,12.6698769520317,18.200878912466578,8.473678419999487,2000000
6979P_F3_D3_dictno_pindefault_warm,3,3,no,no,3,129.90884588093547,85.75309753762949,1.5149172404405558,24.096244146676327,34.22549411880027,38.61190037923734,48.433747416507686,6000000
6979P_F3_D3_dictyes_pindefault_warm,3,3,yes,no,3,276.9253038672149,145.21349101895362,1.907021874648478,10.512453144428946,15.468363272930219,20.880742198414737,21.998308194997662,6000000
6979P_F3_D6_dictno_pindefault_warm,3,6,no,no,3,144.07905880552494,95.1068843626237,1.5149172404405558,41.85800975164966,49.99489064516638,54.26351560799958,42.2695101434947,6000000
6979P_F3_D6_dictyes_pindefault_warm,3,6,yes,no,3,152.25375700118383,79.83849531314308,1.907021874648478,39.457527350350574,50.335287085090386,56.32688672108088,39.99978042949806,6000000
6979P_F6_D6_dictno_pindefault_warm,6,6,no,no,6,143.5791100231374,94.77678531732091,1.5149185482755303,42.11074414683935,52.71492577207937,57.75902931759447,84.9086158459977,12000000
6979P_F6_D6_dictyes_pindefault_warm,6,6,yes,no,6,151.19627369856306,79.28026970418895,1.9071109907005561,39.45050977449682,55.41376756923455,61.225886696547605,80.64137459199264,12000000
6979P_F6_D12_dictno_pindefault_warm,6,12,no,no,6,141.23786712755484,93.23132737950132,1.5149185482755303,85.77256642183784,102.42749021927011,113.57706443959614,86.23760958150524,12000000
6979P_F6_D12_dictyes_pindefault_warm,6,12,yes,no,6,106.91816227604164,56.06289450241512,1.9071109907005561,114.22871287436465,143.1098925763763,153.40377146344508,115.01208937750198,12000000
6979P_F6_D12_dictno_pindefault_cold,6,12,no,no,6,116.45941944663683,76.87503699733924,1.5149185482755303,103.87847851234255,140.4471679791186,160.85597263781892,104.8431358605012,12000000
6979P_F6_D12_dictyes_pindefault_cold,6,12,yes,no,6,132.28447638871347,69.3638057951311,1.9071109907005561,90.64221873700262,121.91675389772172,130.83026561844235,92.08384508249583,12000000
6979P_F6_D12_dictno_pinnuma_warm,6,12,no,no,6,141.64109195733943,93.4974966928572,1.5149185482755303,85.37639453720658,102.82062501687506,110.41537698019965,85.99208567599999,12000000
6979P_F6_D12_dictyes_pinnuma_warm,6,12,yes,no,6,150.0794861470068,78.69467843183935,1.9071109907005561,79.6965683491635,114.9306015406637,127.0325390976268,81.15760861850868,12000000
