tag,F,D,dict,merge,n_files,raw_MBps_med,comp_MBps_med,ratio,p50_us_med,p99_us_med,p999_us_med,wall_s_med,n_frames
9965_F1_D2_dictno_pindefault_warm,1,2,no,no,1,253.32986072073672,167.22295420580605,1.5149227683715982,7.784246918163262,9.827217581914738,13.327889973879792,8.013882093131542,2000000
9965_F1_D2_dictyes_pindefault_warm,1,2,yes,no,1,195.36328934643348,102.44842549485992,1.9069428193040927,10.18231523630675,11.656373317237012,17.42562380968593,10.394532961770892,2000000
9965_F1_D2_dictno_pindefault_warm,1,2,no,no,1,238.71815235665656,157.57777052440534,1.5149227683715982,8.274570063804276,12.023463568766601,16.52539322094526,8.513762063346803,2000000
9965_F1_D2_dictyes_pindefault_warm,1,2,yes,no,1,209.84939654373264,110.04493392219999,1.9069428193040927,9.455883628106676,10.907751857303083,14.014851331012323,9.6743816700764,2000000
9965_F3_D3_dictno_pindefault_warm,3,3,no,no,3,122.87295450570645,81.10861090544776,1.514918738393207,24.458162442897446,30.380298994714394,32.8790265484713,49.56354527780786,6000000
9965_F3_D3_dictyes_pindefault_warm,3,3,yes,no,3,141.49367006149802,74.20284234069523,1.9068497324111038,21.498497517313808,25.77159284555819,28.809912691940553,43.4993815952912,6000000
9965_F3_D6_dictno_pindefault_warm,3,6,no,no,3,104.82909445835196,69.19783338975566,1.514918738393207,57.63371518696658,70.92682608345058,77.13513150520157,58.09473310271278,6000000
9965_F3_D6_dictyes_pindefault_warm,3,6,yes,no,3,106.49607735553928,55.84922374605837,1.9068497324111038,56.87894008588046,65.77408385055605,70.06306077528279,57.18641693657264,6000000
9965_F6_D6_dictno_pindefault_warm,6,6,no,no,6,105.17945469534477,69.42904642795364,1.5149200530139681,57.485098295728676,69.66105866013095,74.3736145523144,115.80491782911122,12000000
9965_F6_D6_dictyes_pindefault_warm,6,6,yes,no,6,106.8404102871228,56.02708798826805,1.9069420546985227,56.796377975842915,65.45351243403275,69.39034392416943,114.0247796936892,12000000
9965_F6_D12_dictno_pindefault_warm,6,12,no,no,6,114.97588182828687,75.89567621046386,1.5149200530139681,105.88862460281234,128.65450844401494,137.2706246911548,105.97367756767198,12000000
9965_F6_D12_dictyes_pindefault_warm,6,12,yes,no,6,115.33334967306143,60.480783560722834,1.9069420546985227,105.37773050600663,123.44889000814874,129.86823276150972,105.60736391367391,12000000
9965_F6_D12_dictno_pindefault_cold,6,12,no,no,6,112.84217878721404,74.48721704007545,1.5149200530139681,107.52326488727704,131.27359488862567,140.61652291275095,107.93996940227225,12000000
9965_F6_D12_dictyes_pindefault_cold,6,12,yes,no,6,116.89685230477357,61.30068400177704,1.9069420546985227,103.93530283181462,122.38597446412314,129.76428297406528,104.19480015244335,12000000
